attach_permanently_rules,attach_temporarily_rules,passively_move_solids_rules,passively_move_liquids_rules,passively_move_gases_rules,passively_move_granular_rules,actively_move_solids_rules,actively_move_liquids_rules,actively_move_gases_rules,actively_move_granular_rules,protect_from_animals_rules,protect_from_plants_rules,protect_from_fungi_rules,protect_from microbes_rules,protect_from_solids_rules,protect_from excess_liquids_rules,protect_from_loss_liquids_rules,protect_from gases_rules,protect_from_wind_rules,protect_from_temperature_rules,protect_from_fire_rules,protect_from_ice_rules,protect_from_light_rules,protect_from_chemicals_rules,protect_from_radiation_rules,manage_impact_rules,regulate_drag_turbulence_rules,prevent_buckling_rules,prevent_fracture_rupture_rules,manage_shear_rules,prevent_allow_deformation_rules,prevent_fatigue_rules,control_erosion_rules,regulate_wear_rules,change_material_properties_rules,regulate_reproduction_growth_rules,self_replicate_rules,maintain_homeostasis_equillibrium_rules,coordinate_self_organization_rules,cooperate_within_between_species_rules,compete_within_between_species_rules,manage_environmental_disturbance_rules,manage_populations_pests_diseases_rules,maintain_biodiversity_rules,chemically_assemble_inorganic_compounds_rules,chemically_assemble_organic_compounds_rules,self_assemble_rules,chemically_break_down_inorganic_compounds_rules,chemically_break_down_organic_compounds_rules,modify_convert_electrical_energy_rules,modify_convert_magnetic_energy_rules,modify_convert_chemical_energy_rules,modify_convert_mechanical_energy_rules,modify_convert_thermal_energy_rules,modify_convert_light_energy_rules,physically_assemble_structure_rules,break_down_structure_rules,optimize_shape_materials_rules,send_light_visible_spectrum_rules,send_light_nonvisible_spectrum_rules,send_sound_signals_rules,send_tactile_signals_rules,send_chemical_signals_rules,send_vibratory_signals_rules,send_electrical_magnetic_signals_rules,differentiate_signal_noise_rules,convert_signals_rules,respond_signals_rules,,sense_light_visible_spectrum_rules,sense_light_nonvisible_spectrum_rules,sense_electricity_magnetism_rules,sense_disease_rules,sense_touch_mechanical_forces_rules,sense_chemicals_rules ,sense_atmospheric_conditions_rules,sense_sound_vibrations_rules,sense_temperature_cues_rules,sense_motion_rules,sense_spatial_awareness_rules,sense_shape_pattern_rules,capture_solids_rules,capture_liquids_rules,capture_gases_rules,capture_energy_rules,absorb_filter_solids_rules,absorb_filter_liquids_rules,absorb_filter_gases_rules,store_solids_rules,store_liquids_rules,store_gases_rules,store_energy_rules,distribute_expel_solids_rules,distribute_expel_liquids_rules,distribute_expel_gases_rules,distribute_expel_energy_rules,detox_purify_rules,change_structural_color_rules,change_chemical_color_pigmentation_rules,camouflage_mimicry_rules,change_size_shape_rules
attach firmly,temporary adhesion,freely permits movement of water across the cell membrane,buoyancy control,gliding flight,,mechanisms that power motility,fast-swimming,fling its seeds,granular media,,,,,,held water off the leaf,,,reducing wind,exposure to cold,fire,ice formation,,arsenic tolerance,radiation,,can sustain drag,critical stress to produce local buckling,,,flexural stiffness,,retain sediment,,changing from a liquid to a solid phase,growth rate,,,,transfer of resources among plants,interspecific competition,extreme events such as storms and hurricanes,support large populations,losses of biodiversity,,,microtubule assembly dynamics,,,,,,excitation-contraction coupling,,,,,,,,sonar signal,,,,,,transduction,sensory data-acquisition strategies,,,,,,,,,,,,,,prey captured was swallowed,,,,,,,,,,kinetic and potential energy,abscind,fluid-filled cavities,,mechanical power amplification,arsenic tolerance,color change,color change,improving camouflage,ontogenetic changes
attaching firmly,reversible adhesion,,adjust buoyancy,passive flight,,motility is powered by,fast swimming,explosive dispersal,ascent of sandy slopes,,,,,,hydrophobic,,,,retain heat on expiration,fire survival,freezing survival,,arsenic hyperaccumulating,ionizing radiation,,generates a lift force,bending strength,,,will collapse easily,,sediment storage,,,growth-rate,,,,common mycorrhizal networks,intraspecific competition,extreme events,ecosystem engineering,providing habitat for wildlife,,,molecular basis of assembly,,,,,,dynamic muscle contraction,,,,,,,,echolocation,,,,,,subsequent interaction with,sensory data-acquisition,,,,,,,,,,,,,,swallowing of the prey,,,,,,,,,,stored energy,abscission,incompressible fluids,,mechanical power amplifier,arsenic hyperaccumulating,colour change,colour change,camouflage by,change the shape and size
attachment strategy,being dislodged,,breakage by waves and tidal currents,gliding birds,,Adventurous gliding motility,fastest swimming,reproductive projectiles,ascend sandy slopes,,,,,,hydrophobia,,,,thermocontrol,fire-prone,ice,,hyperaccumulator,resistant to ionizing radiation,,produce a lift force,flexural Young's modulus,,,stiffness and strength,,retention of sediment,,,reproduction,,,,mutualism,parasitism,storms,ecosystem engineer,conservation biology,,,assembly rate,,,,,,hydraulic pressure,,,,,,,,echolocation strategy,,,,,,process controlled by extracellular signalling,sensory data acquisition,,,,,,,,,,,,,,swallowing prey,,,,,,,,,,elastic energy stores,abscission zone,internal fluid under pressure,,ballistically project,hyperaccumulator,coloration,light switch,hide,change the size and shape
pull-off force,suction adhesion,,rafting organisms,slow glides,,social gliding motility,rapid swimming,flying vertebrates,anisotropic microstructured surfaces,,,,,,hydrophobicity,,,,respiratory thermocontrol function,fire resistance,freeze tolerant,,,radiation-resistant,,minimize anterior resistance,tensile stresses,,,bone strength and stiffness,,coastal defence,,,overall net growth,,,,,predation,hurricanes,ecosystem security,conserve biodiversity,,,dynamic assembly,,,,,,hydraulic leg extension,,,,,,,,emitted sounds,,,,,,changes in response to,information acquired from the environment,,,,,,,,,,,,,,bubble-net feeding,,,,,,,,,,elastic energy,plant can fling its seeds,hydrostatic skeleton,,projection power,atmospheric cleansing,colouration,pigment,cloak,
solidified glue,dislodging,,rafting in the marning environment,fast glides,,twitching gliding motility,swimming speed,flapping flight,stick-slip behavior,,,,,,swell waves,,,,in response to low ambient temperatures,intense fires,freeze tolerance,,,radiation resistance,,maximize caudal thrust,increases the resistance to buckling,,,maximizing bone strength and stiffness while minimizing bone mass and volume,,defending coasts,,,sexual selection,,,,,,,global population,biodiversity,,,dynamic instability,,,,,,hydraulic system,,,,,,,,,,,,,,bidirectional feedback,variety of signals can converge,,,,,,,,,,,,,,feeding behavior,,,,,,,,,,elastic strain energy,pollen catapult,flow of fluid,,energy release,detoxification,photonic structures,pigmented,hidden,
permanent adhesion,dislodging stresses,,motility of rafting organisms,cruising flight,,cell movement,self-propelled swimming speed,forward flight,friction-induced stick-slip behavior,,,,,,,,,,thermoregulation,fire severity,freezing tolerance,,,DNA breakage,,lift-to-drag ratio,buckles back,,,tensile stays,,,,,mating success,,,,,,,population dynamics,conservation biology,,,microtubule dynamics,,,,,,mechanical force is generated,,,,,,,,,,,,,,topographic representation of auditory space,signalling complexes,,,,,,,,,,,,,,feeding behaviour,,,,,,,,,,elastic storage,,water transfer,,instantaneous power,ozone detoxification,structural color,pigmentary,master of camouflage,
permanent adhesive,adhesive joint failure,,obligate rafters,dispersal agents,,surface motility,self-propelled swimming (SPS) speed,flight power,friction behavior,,,,,,,,,,thermoregulatory behavior,fire resistance strategies,thawing,,,radiation toxicity,,generating lift,flexural modulus,,,longitudinal deformation,,,,,regulation of growth,,,,,,,increases in the population,enhance conservation efforts,,,continuously reorganized,,,,,,stretch activation mechanism,,,,,,,,,,,,,,spatial tuning,signaling complexes,,,,,,,,,,,,,,carrion-feeding,,,,,,,,,,elastic energy recovery,,water vascular system,,,denitrification,colouration switch,pigmenting,act as camouflage,
builds up a composite,mucoadhesion,,gas-filled sail-like float,during gliding,,bacterial surface motility,swimming behaviors,biomechanics of dscharge,walking on sand,,,,,,,,,,cold temperature,fire conditions,freeze,,,DNA damage,,generate lift,,,,deformable,,,,,microtubule growth,,,,,,,,abundance of species,,,move collectively in a highly coordinated manner,,,,,,muscle contraction,,,,,,,,,,,,,,,transducing signals,,,,,,,,,,,,,,feeding ecology,,,,,,,,,,elastic energy storage,,increased access to soil water,,,nitrogen sedimentation,to generate color,pigemnts,effective means of camouflage,
irreversible binding,semi-permanent adhesive bond,,bubble rafting,gliding membrane,,bacterial motility,horizontal swimming,evolution of flight,swimming in sand,,,,,,,,,,extreme temperatures,bushfire,freezing,,,radioresistance,,lift:drag ratio,,,,wide array of deformations,,,,,switching back from shrinkage to growth,,,,,,,,plant and animal community composition and diversity,,,coordinated movements,,,,,,transmitting muscular contraction,,,,,,,,,,,,,,,in response to,,,,,,,,,,,,,,feeding mechanism,,,,,,,,,,energy storage and recovery,,,,,water purification,to generate colour,pigment vesicles,disguise,
